severity,index,name,issue,value,duplicateCount,similarity,keyword,equipment
"WARNING","270","Subidas al cajón","LOW_NAME_DESCRIPTION_RELATION","","","0.071","",""
"WARNING","274","Remo en plancha","LOW_NAME_DESCRIPTION_RELATION","","","0.05","",""
"WARNING","275","Swing con kettlebell","LOW_NAME_DESCRIPTION_RELATION","","","0.059","",""
"WARNING","280","Thruster con peso","LOW_NAME_DESCRIPTION_RELATION","","","0.059","",""
"WARNING","282","Burpees","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","285","Skipping HIIT","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","286","Saltos laterales","LOW_NAME_DESCRIPTION_RELATION","","","0.059","",""
"WARNING","289","Saltos al cajón","LOW_NAME_DESCRIPTION_RELATION","","","0.053","",""
"WARNING","290","Thrusters HIIT","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","300","Equilibrio sobre una pierna","LOW_NAME_DESCRIPTION_RELATION","","","0.056","",""
"WARNING","305","Bear hold controlado","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","306","Alcance controlado en pared","LOW_NAME_DESCRIPTION_RELATION","","","0.053","",""
"WARNING","308","Sentadilla muy lenta","LOW_NAME_DESCRIPTION_RELATION","","","0.05","",""
"WARNING","309","Zancada controlada","LOW_NAME_DESCRIPTION_RELATION","","","0.063","",""
"WARNING","313","Marcha coordinada","LOW_NAME_DESCRIPTION_RELATION","","","0.056","",""
"WARNING","314","Rodillas altas coordinadas","LOW_NAME_DESCRIPTION_RELATION","","","0.063","",""
"WARNING","315","Paso lateral cruzado","LOW_NAME_DESCRIPTION_RELATION","","","0.056","",""
"WARNING","318","Caminata de oso","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","319","Pasos laterales rápidos","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","322","Paso lateral alternado","LOW_NAME_DESCRIPTION_RELATION","","","0.077","",""
"WARNING","324","Saltos coordinados","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","333","Rotaciones torácicas","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","334","Gato-vaca","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","483","Caminata rápida","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","485","Burpees con push-up","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","486","Mountain climber lento","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","493","Remo HIIT","LOW_NAME_DESCRIPTION_RELATION","","","0.05","",""
"WARNING","496","Escalador de montaña","LOW_NAME_DESCRIPTION_RELATION","","","0.045","",""
"WARNING","497","Bird dog contralateral","LOW_NAME_DESCRIPTION_RELATION","","","0.048","",""
"WARNING","498","Sled reverse","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","500","Farmer carry con giro","LOW_NAME_DESCRIPTION_RELATION","","","0.053","",""
"WARNING","502","Sled lateral push","LOW_NAME_DESCRIPTION_RELATION","","","0.067","",""
"WARNING","503","Bear crawl","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","506","Kettlebell goblet squat","LOW_NAME_DESCRIPTION_RELATION","","","0.056","",""
"WARNING","508","Farmer suitcase carry","LOW_NAME_DESCRIPTION_RELATION","","","0.042","",""
"WARNING","509","Box lateral jump","LOW_NAME_DESCRIPTION_RELATION","","","0.053","",""
"WARNING","511","Bird dog","LOW_NAME_DESCRIPTION_RELATION","","","0","",""
"WARNING","718","Marcha lateral","LOW_NAME_DESCRIPTION_RELATION","","","0.048","",""
"WARNING","223","Subida en reversa al step","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Peso corporal"
"WARNING","262","Step Jacks","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Peso corporal"
"WARNING","397","Hip thrust con barra smith","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","barra","Máquina Smith"
"WARNING","458","Step up con mancuerna","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Mancuernas"
"WARNING","471","Step up lateral","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","472","Step up con salto","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","492","Step up rápido","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","523","Step-up con press","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Mancuernas"
"WARNING","534","Step-up lateral","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","619","Plyo step-jump","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","622","Plyo step-over","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Cajón pliométrico"
"WARNING","634","Plyo lateral step-up","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","638","Plyo step-down","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","643","Plyo step-up","NAME_EQUIPMENT_POSSIBLE_MISMATCH","","","","step","Banco"
"WARNING","55","Desplantes laterales","TAGS_DO_NOT_REFLECT_NAME","","","","",""
