id,routineId,sessionNumber,weekNumber,dayOfWeek,dayName,order,createdAt
"cmt63fqxs0013cnwqtpw9jiwr","cmt63fqxq0001cnwqlbdudtt7","5","2","2","Sesión 5","4","2026-08-23T17:41:08.510Z"
"cmt63fqxs001ccnwq47pq7oxr","cmt63fqxq0001cnwqlbdudtt7","6","2","3","Sesión 6","5","2026-08-23T17:41:08.510Z"
"cmt63fqxs001mcnwqranee5y2","cmt63fqxq0001cnwqlbdudtt7","7","3","1","Sesión 7","6","2026-08-23T17:41:08.510Z"
"cmt63fqxt001vcnwq74u302o1","cmt63fqxq0001cnwqlbdudtt7","8","3","2","Sesión 8","7","2026-08-23T17:41:08.510Z"
"cmt63fqxt0024cnwqbij58hlf","cmt63fqxq0001cnwqlbdudtt7","9","3","3","Sesión 9","8","2026-08-23T17:41:08.510Z"
"cmt63fqxt002ecnwqveatktjp","cmt63fqxq0001cnwqlbdudtt7","10","4","1","Sesión 10","9","2026-08-23T17:41:08.510Z"
"cmt63fqxt002ncnwqmn70ewcu","cmt63fqxq0001cnwqlbdudtt7","11","4","2","Sesión 11","10","2026-08-23T17:41:08.510Z"
"cmt63fqxt002wcnwq7bhmegbi","cmt63fqxq0001cnwqlbdudtt7","12","4","3","Sesión 12","11","2026-08-23T17:41:08.510Z"
"cmt6fpevd0002p8apkzbs5vkj","cmt6fpevd0001p8apmukn2vbj","1","1","1","Sesión 1","0","2026-08-23T23:24:34.825Z"
"cmt6fpevd0005p8apx527aa3z","cmt6fpevd0001p8apmukn2vbj","2","1","2","Sesión 2","1","2026-08-23T23:24:34.825Z"
"cmt6fpevd0008p8apmssewoiq","cmt6fpevd0001p8apmukn2vbj","3","1","3","Sesión 3","2","2026-08-23T23:24:34.825Z"
"cmt6fpevd000bp8apb6gtpx56","cmt6fpevd0001p8apmukn2vbj","4","2","1","Sesión 4","3","2026-08-23T23:24:34.825Z"
"cmt6fpevd000ep8aplc1wuzq5","cmt6fpevd0001p8apmukn2vbj","5","2","2","Sesión 5","4","2026-08-23T23:24:34.825Z"
"cmt6fpevd000hp8apfbp651ux","cmt6fpevd0001p8apmukn2vbj","6","2","3","Sesión 6","5","2026-08-23T23:24:34.825Z"
"cmt6fpevd000kp8apc4i9zie0","cmt6fpevd0001p8apmukn2vbj","7","3","1","Sesión 7","6","2026-08-23T23:24:34.825Z"
"cmt6fpevd000np8aprglbl0uv","cmt6fpevd0001p8apmukn2vbj","8","3","2","Sesión 8","7","2026-08-23T23:24:34.825Z"
"cmt6fpevd000qp8ap5um9gjli","cmt6fpevd0001p8apmukn2vbj","9","3","3","Sesión 9","8","2026-08-23T23:24:34.825Z"
"cmt6fpeve000tp8apg8v97zp9","cmt6fpevd0001p8apmukn2vbj","10","4","1","Sesión 10","9","2026-08-23T23:24:34.825Z"
"cmt6fpeve000wp8apjpwzlczp","cmt6fpevd0001p8apmukn2vbj","11","4","2","Sesión 11","10","2026-08-23T23:24:34.825Z"
"cmt6fpeve000zp8ap20fj6whz","cmt6fpevd0001p8apmukn2vbj","12","4","3","Sesión 12","11","2026-08-23T23:24:34.825Z"
