id,dayId,exerciseId,sets,reps,targetWeight,rest,order,notes
"cmt5vt5to008ey6cpq8iunxvv","cmt5vt5to0086y6cpynbn58m5","cmt1wcloz00129yldv3q1q1xf","3","10",,"60s","6",
"cmt5vt5to008hy6cphioirmk9","cmt5vt5to008fy6cpmtt204d3","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt5vt5to008iy6cpz96zqo02","cmt5vt5to008fy6cpmtt204d3","cmt1wcjhf00079yld2nduorws","3","10",,"60s","1",
"cmt5vt5to008jy6cpm2fbjhsv","cmt5vt5to008fy6cpmtt204d3","cmt1wcj7t00039yldl0jfmsq1","3","10",,"60s","2",
"cmt5vt5to008ky6cpylkzkysc","cmt5vt5to008fy6cpmtt204d3","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt5vt5to008ly6cp3ozshamm","cmt5vt5to008fy6cpmtt204d3","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt5vt5to008my6cpe7fkatt1","cmt5vt5to008fy6cpmtt204d3","cmt1wcjm900099yldrez29er5","3","10",,"60s","5",
"cmt5vt5to008ny6cp5v8dvz0c","cmt5vt5to008fy6cpmtt204d3","cmt1wcjf000069yld70w99n67","3","10",,"60s","6",
"cmt5vt5to008qy6cp8vyynfjb","cmt5vt5to008oy6cpiy97igis","cmt1wck2g000e9yld4xr43xd3","3","10",,"60s","0",
"cmt5vt5to008ry6cpkxgdjz36","cmt5vt5to008oy6cpiy97igis","cmt33as87009iypj1w4df4hbw","3","10",,"60s","1",
"cmt5vt5to008sy6cp49whg8ki","cmt5vt5to008oy6cpiy97igis","cmt1wck7k000g9ylds1f74e5f","3","10",,"60s","2",
"cmt5vt5to008ty6cpbktfib5z","cmt5vt5to008oy6cpiy97igis","cmt1wckgy000k9yld3uhbxcmz","3","10",,"60s","3",
"cmt5vt5to008uy6cp1kbhu428","cmt5vt5to008oy6cpiy97igis","cmt1wcku0000p9yldlixr5utq","3","10",,"60s","4",
"cmt5vt5to008vy6cpe9i21rsw","cmt5vt5to008oy6cpiy97igis","cmt1wckrp000o9yldwght3fhg","3","10",,"60s","5",
"cmt5vt5to008wy6cpybyclfdu","cmt5vt5to008oy6cpiy97igis","cmt1wckwc000q9yldx9h39v95","3","10",,"60s","6",
"cmt5vt5to008zy6cp2cdpi8bl","cmt5vt5to008xy6cpnaxbnpec","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt5vt5to0090y6cpyouaq6o4","cmt5vt5to008xy6cpnaxbnpec","cmt1wcjvc000c9yldxsamglp5","3","10",,"60s","1",
"cmt5vt5to0091y6cphp2wwl4r","cmt5vt5to008xy6cpnaxbnpec","cmt1wco0e00219ylda8s3o89y","3","10",,"60s","2",
"cmt5vt5to0092y6cp5ng7vpvt","cmt5vt5to008xy6cpnaxbnpec","cmt1wcld1000x9yldxuasbajt","3","10",,"60s","3",
"cmt5vt5to0093y6cpumylr4c4","cmt5vt5to008xy6cpnaxbnpec","cmt1wclk600109ylda2zsqp9r","3","10",,"60s","4",
"cmt5vt5to0094y6cpwrdvcsl3","cmt5vt5to008xy6cpnaxbnpec","cmt1wclrc00139yldadw7gupn","3","10",,"60s","5",
"cmt5vt5to0095y6cp60lrhcja","cmt5vt5to008xy6cpnaxbnpec","cmt1wcloz00129yldv3q1q1xf","3","10",,"60s","6",
"cmt63fqxr0004cnwqysn4o6pe","cmt63fqxr0002cnwquzz28r3n","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt63fqxr0005cnwqqxys7e4a","cmt63fqxr0002cnwquzz28r3n","cmt1wcjhf00079yld2nduorws","3","10",,"60s","1",
"cmt63fqxr0006cnwqrl8d4os9","cmt63fqxr0002cnwquzz28r3n","cmt1wcj7t00039yldl0jfmsq1","3","10",,"60s","2",
